公司名称,公司类型,融资阶段,标签,公司规模,公司所在地,职位类型,学历要求,福利,薪资,工作经验
广州富力地产股份有限公司,"移动互联网,电子商务",上市公司,"['年底双薪', '通讯津贴', '包早、午餐', '定期体检']",2000人以上,天河区,开发/测试/运维类,本科,"靠谱平台,有爱团队,福利待遇优,购房优惠",12k-22k,3-5年
广州游爱网络技术有限公司,"移动互联网,游戏",上市公司,"['年终分红', '绩效奖金', '专项奖金', '年底双薪']",500-2000人,萝岗区,技术,大专,五险一金 包三餐 全勤奖 项目奖金 年底双薪,8k-15k,1-3年
恒大地产集团珠三角房地产开发有限公司,"移动互联网,生活服务",上市公司,"['管理规范', '五险一金', '岗位晋升']",2000人以上,天河区,开发/测试/运维类,本科,世界500,20k-35k,3-5年
北京千锋互联科技有限公司广州分公司,移动互联网,上市公司,"['年底双薪', '带薪年假', '绩效奖金', '岗位晋升']",500-2000人,天河区,开发/测试/运维类,大专,"公司平台好,授课培训,高课时费,福利待遇好",20k-30k,1-3年
广州布里吉信息科技有限公司,移动互联网,未融资,"['股票期权', '年终分红', '带薪年假', '定期体检']",15-50人,番禺区,开发/测试/运维类,本科,"节日礼品,无需打卡,五险一金,工作氛围好",8k-15k,1-3年
广州齐昌网络科技有限公司,企业服务,未融资,"['节日礼物', '绩效奖金', '岗位晋升', '弹性工作']",15-50人,天河区,开发/测试/运维类,本科,"氛围好,有分红,领导好",7k-9k,不限
北京瑞地科技有限公司,移动互联网,不需要融资,"['五险一金', '股票期权', '扁平管理', '绩效奖金']",150-500人,天河区,开发/测试/运维类,本科,"BAT背景,入职期权,海外互联网,千万级日活",4k-6k,应届毕业生
广州市原象广告有限公司,电子商务,不需要融资,"['带薪年假', '年度旅游', '扁平管理', '美女多']",150-500人,海珠区,开发/测试/运维类,本科,"公司环境好,帅哥美女多,互联网氛围,老板好",10k-20k,3-5年
佛山爱科信息技术有限公司,教育,天使轮,"['年底双薪', '股票期权', '午餐补助', '定期体检']",15-50人,海珠区,开发/测试/运维类,大专,"氛围好,交通便利,薪酬福利,办公室零食",6k-10k,应届毕业生
佛山市创商汇电子商务有限公司,"电子商务,生活服务",A轮,[],50-150人,海珠区,开发/测试/运维类,不限,"五险一金,年终奖金,节日福利,带薪年假",10k-15k,不限
